Scenario,Random_Seed,Iteration,Num_Experiments,yield_Measurements,yield_IterBest,yield_CumBest,Initial_Data
0,1337,0,2,"[0.0, 23.22]",23.22,23.22,
0,1337,1,4,"[3.6, 5.22]",5.22,23.22,
0,1337,2,6,"[5.75, 0.0]",5.75,23.22,
0,1337,3,8,"[0.0, 57.27]",57.27,57.27,
0,1337,4,10,"[37.38, 12.44]",37.38,57.27,
0,1337,5,12,"[5.62, 2.72]",5.62,57.27,
0,1337,6,14,"[47.03, 3.4]",47.03,57.27,
0,1337,7,16,"[12.23, 7.59]",12.23,57.27,
0,1337,8,18,"[7.25, 9.96]",9.96,57.27,
0,1337,9,20,"[4.89, 36.73]",36.73,57.27,
0,1338,0,2,"[5.91, 61.09]",61.09,61.09,
0,1338,1,4,"[3.6, 5.22]",5.22,61.09,
0,1338,2,6,"[5.75, 0.0]",5.75,61.09,
0,1338,3,8,"[0.0, 0.0]",0.0,61.09,
0,1338,4,10,"[57.27, 47.03]",57.27,61.09,
0,1338,5,12,"[12.23, 65.32]",65.32,65.32,
0,1338,6,14,"[14.68, 8.21]",14.68,65.32,
0,1338,7,16,"[62.75, 84.03]",84.03,84.03,
0,1338,8,18,"[2.53, 31.66]",31.66,84.03,
0,1338,9,20,"[38.8, 43.84]",43.84,84.03,
0,1339,0,2,"[0.0, 22.65]",22.65,22.65,
0,1339,1,4,"[3.6, 5.22]",5.22,22.65,
0,1339,2,6,"[5.75, 0.0]",5.75,22.65,
0,1339,3,8,"[0.0, 0.0]",0.0,22.65,
0,1339,4,10,"[57.27, 47.03]",57.27,57.27,
0,1339,5,12,"[37.38, 3.4]",37.38,57.27,
0,1339,6,14,"[12.23, 2.72]",12.23,57.27,
0,1339,7,16,"[31.18, 16.91]",31.18,57.27,
0,1339,8,18,"[5.7, 25.64]",25.64,57.27,
0,1339,9,20,"[0.0, 0.0]",0.0,57.27,
0,1340,0,2,"[1.36, 0.43]",1.36,1.36,
0,1340,1,4,"[3.6, 5.22]",5.22,5.22,
0,1340,2,6,"[5.75, 0.0]",5.75,5.75,
0,1340,3,8,"[0.0, 0.0]",0.0,5.75,
0,1340,4,10,"[6.26, 13.85]",13.85,13.85,
0,1340,5,12,"[38.45, 41.03]",41.03,41.03,
0,1340,6,14,"[1.65, 23.57]",23.57,41.03,
0,1340,7,16,"[0.0, 9.32]",9.32,41.03,
0,1340,8,18,"[57.27, 47.03]",57.27,57.27,
0,1340,9,20,"[5.29, 6.98]",6.98,57.27,
0,1341,0,2,"[0.0, 86.14]",86.14,86.14,
0,1341,1,4,"[3.6, 5.22]",5.22,86.14,
